Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1604376783669,2020-11-03,04:13:03.669,44587,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604376924678,2020-11-03,04:15:24.678,44728,Disconnection ventilator,Disconnection ventilator,-1,30,DISCONNECT  ,NotActive,Active
1604376928693,2020-11-03,04:15:28.693,44732,Tube obstructed,Tube obstructed,-1,30,TUBE OBSTRUC,NotActive,Active
1604376932676,2020-11-03,04:15:32.676,44736,Disconnection ventilator,Disconnection ventilator,30,-1,,Active,NotActive
1604376932707,2020-11-03,04:15:32.707,44736,PEEP < low limit,PEEP < low limit,,28,PEEP LOW    ,Unknown,Active
1604376932707,2020-11-03,04:15:32.707,44736,Tube obstructed,Tube obstructed,30,-1,,Active,NotActive
1604376933676,2020-11-03,04:15:33.676,44737,PEEP < low limit,PEEP < low limit,28,-1,,Active,NotActive
1604377103664,2020-11-03,04:18:23.664,44907,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604377128661,2020-11-03,04:18:48.661,44932,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604386456713,2020-11-03,06:54:16.713,54260,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604386459681,2020-11-03,06:54:19.681,54263,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604386476689,2020-11-03,06:54:36.689,54280,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604386566684,2020-11-03,06:56:06.684,54370,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604386574699,2020-11-03,06:56:14.699,54378,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604386577683,2020-11-03,06:56:17.683,54381,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604389922703,2020-11-03,07:52:02.703,57726,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
